Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","6387203","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","21815","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1961","1961","tonnes","13933400","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","6485855","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","22253","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1962","1962","tonnes","14433210","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","6299467","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","21152","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1963","1963","tonnes","13324660","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","6244904","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","22430","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1964","1964","tonnes","14007520","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","6056518","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","23993","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1965","1965","tonnes","14531270","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","5991218","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","23998","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1966","1966","tonnes","14377630","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","5768719","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","26288","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1967","1967","tonnes","15165050","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1968","1968","ha","5954460","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1968","1968","hg/ha","25271","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1968","1968","tonnes","15047330","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1969","1969","ha","5922142","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1969","1969","hg/ha","26761","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1969","1969","tonnes","15848360","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1970","1970","ha","5863821","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1970","1970","hg/ha","27547","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1970","1970","tonnes","16153080","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1971","1971","ha","5515115","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1971","1971","hg/ha","29631","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1971","1971","tonnes","16341770","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1972","1972","ha","5335821","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1972","1972","hg/ha","29268","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1972","1972","tonnes","15616689","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1973","1973","ha","5278781","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1973","1973","hg/ha","29830","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1973","1973","tonnes","15746610","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1974","1974","ha","5270970","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1974","1974","hg/ha","31570","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1974","1974","tonnes","16640396","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1975","1975","ha","5124766","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1975","1975","hg/ha","33020","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1975","1975","tonnes","16921900","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1976","1976","ha","5145201","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1976","1976","hg/ha","32060","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1976","1976","tonnes","16495300","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1977","1977","ha","4504694","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1977","1977","hg/ha","31987","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1977","1977","tonnes","14409200","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1978","1978","ha","5138256","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1978","1978","hg/ha","34375","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1978","1978","tonnes","17662800","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1979","1979","ha","5129977","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1979","1979","hg/ha","34350","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1979","1979","tonnes","17621700","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1980","1980","ha","5110637","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1980","1980","hg/ha","35211","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1980","1980","tonnes","17995200","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1981","1981","ha","5006438","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1981","1981","hg/ha","36867","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1981","1981","tonnes","18457268","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1982","1982","ha","5115001","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1982","1982","hg/ha","35850","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1982","1982","tonnes","18337400","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1983","1983","ha","5127063","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1983","1983","hg/ha","35266","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1983","1983","tonnes","18081100","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1984","1984","ha","5074307","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1984","1984","hg/ha","39272","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1984","1984","tonnes","19927800","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1985","1985","ha","4821364","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1985","1985","hg/ha","37393","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1985","1985","tonnes","18028600","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1986","1986","ha","4849747","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1986","1986","hg/ha","38554","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1986","1986","tonnes","18697900","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1987","1987","ha","4693753","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1987","1987","hg/ha","39201","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1987","1987","tonnes","18399800","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1988","1988","ha","4570559","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1988","1988","hg/ha","38070","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1988","1988","tonnes","17400000","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1989","1989","ha","4627087","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1989","1989","hg/ha","37027","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1989","1989","tonnes","17132670","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1990","1990","ha","4413402","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1990","1990","hg/ha","39449","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1990","1990","tonnes","17410540","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1991","1991","ha","4401724","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1991","1991","hg/ha","43663","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1991","1991","tonnes","19219130","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1992","1992","ha","4225437","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1992","1992","hg/ha","47074","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1992","1992","tonnes","19890867","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1993","1993","ha","4075797","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1993","1993","hg/ha","48509","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1993","1993","tonnes","19771428","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1994","1994","ha","4103767","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1994","1994","hg/ha","46753","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1994","1994","tonnes","19186472","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1995","1995","ha","4216267","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1995","1995","hg/ha","46674","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1995","1995","tonnes","19679024","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1996","1996","ha","4223665","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1996","1996","hg/ha","49483","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1996","1996","tonnes","20899946","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1997","1997","ha","4195050","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1997","1997","hg/ha","47476","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1997","1997","tonnes","19916519","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1998","1998","ha","4082355","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1998","1998","hg/ha","50782","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1998","1998","tonnes","20731020","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","1999","1999","ha","4173966","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","1999","1999","hg/ha","50474","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","1999","1999","tonnes","21067676","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2000","2000","ha","4137209","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2000","2000","hg/ha","49939","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2000","2000","tonnes","20660952","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2001","2001","ha","4134297","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2001","2001","hg/ha","48214","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2001","2001","tonnes","19933158","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2002","2002","ha","4284649","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2002","2002","hg/ha","49592","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2002","2002","tonnes","21248429","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2003","2003","ha","4147562","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2003","2003","hg/ha","43072","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2003","2003","tonnes","17864361","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2004","2004","ha","4276507","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2004","2004","hg/ha","54444","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2004","2004","tonnes","23283207","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2005","2005","ha","3995818","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2005","2005","hg/ha","53614","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2005","2005","tonnes","21423171","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2006","2006","ha","3801047","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2006","2006","hg/ha","53161","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2006","2006","tonnes","20206559","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2007","2007","ha","3933244","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2007","2007","hg/ha","51740","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2007","2007","tonnes","20350618","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2008","2008","ha","4037602","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2008","2008","hg/ha","53530","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2008","2008","tonnes","21613374","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2009","2009","ha","3480655","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2009","2009","hg/ha","50869","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2009","2009","tonnes","17705746","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2010","2010","ha","3476388","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2010","2010","hg/ha","53225","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2010","2010","tonnes","18502904","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2011","2011","ha","3438491","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2011","2011","hg/ha","56772","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2011","2011","tonnes","19521139","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2012","2012","ha","3498385","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2012","2012","hg/ha","53151","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2012","2012","tonnes","18594125","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2013","2013","ha","3459869","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2013","2013","hg/ha","52646","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2013","2013","tonnes","18214664","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2014","2014","ha","3392536","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2014","2014","hg/ha","57175","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2014","2014","tonnes","19396843","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2015","2015","ha","3275506","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2015","2015","hg/ha","54022","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2015","2015","tonnes","17694875","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2016","2016","ha","3253985","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2016","2016","hg/ha","55990","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2016","2016","tonnes","18219221","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2017","2017","ha","3140579","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2017","2017","hg/ha","51748","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2017","2017","tonnes","16251718","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2018","2018","ha","3092700","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2018","2018","hg/ha","53508","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2018","2018","tonnes","16548350","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2019","2019","ha","3066520","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2019","2019","hg/ha","53362","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2019","2019","tonnes","16363450","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5312","Area harvested","1717","Cereals, Total","2020","2020","ha","3011730","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5419","Yield","1717","Cereals, Total","2020","2020","hg/ha","56265","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","1717","Cereals, Total","2020","2020","tonnes","16945440","E","Estimated value"
